title,url,category,published,dominant_topic,dominant_topic_score
Cao thủ duy nhất trong Kim Dung chết do võ công mình tạo ra?,https://vnexpress.net/crossword-giai-o-chu-o-chu-cao-thu-duy-nhat-trong-kim-dung-chet-do-vo-cong-minh-tao-ra-4905407.html,cuoi,,1,0.4360696633568965
Ảnh phòng tắm có điểm sai duy nhất nào?,https://vnexpress.net/cau-do-iq-thu-tai-tinh-mat-anh-phong-tam-co-diem-sai-duy-nhat-nao-4903627.html,cuoi,,5,0.5052207344669114
Triều đại cuối cùng đóng đô tại hai kinh đô khác nhau?,https://vnexpress.net/crossword-giai-o-chu-o-chu-lich-su-viet-nam-trieu-dai-cuoi-cung-dong-do-tai-hai-kinh-do-khac-nhau-4916795.html,cuoi,,1,0.4754517612988096
Xe máy chở gần trăm thùng nhựa cồng kềnh,https://vnexpress.net/thu-gian-video-hai-chuyen-la-xe-may-cho-gan-tram-thung-nhua-cong-kenh-4912857.html,cuoi,,8,0.4431322016135242
Người IQ cao sẽ biến phép tính sai thành đúng trong 10 giây,https://vnexpress.net/nguoi-iq-cao-se-bien-phep-tinh-sai-thanh-dung-trong-10-giay-4924539.html#box_comment_vne,cuoi,,1,0.8258453975869752
Mắt 10/10 mới thấy khuôn mặt ẩn trong tranh,https://vnexpress.net/cau-do-iq-thu-tai-tinh-mat-mat-10-10-moi-thay-khuon-mat-an-trong-tranh-4915411.html,cuoi,,1,0.7768010312011581
Người có IQ cao mới xử lý được bài toán que diêm này,https://vnexpress.net/cau-do-que-diem-di-chuyen-que-diem-nguoi-co-iq-cao-moi-xu-ly-duoc-bai-toan-que-diem-nay-4921466.html,cuoi,,1,0.6388114684491691
"Tổng cân nặng của ếch, ngựa và cừu là bao nhiêu kg?",https://vnexpress.net/cau-do-iq-thu-tai-suy-luan-tong-can-nang-cua-ech-ngua-va-cuu-la-bao-nhieu-kg-4914534.html,cuoi,,1,0.8118042815672343
"4 con giáp giàu có hơn người, sức khỏe dồi dào",https://vnexpress.net/van-may-12-con-giap-con-giap-may-man-4-con-giap-giau-co-hon-nguoi-suc-khoe-doi-dao-4898058.html,cuoi,,1,0.9198546764673224
Tên tỉnh nào viết kiểu Tây hay Ta đều đúng?,https://vnexpress.net/cau-do-dia-danh-doan-ten-tinh-thanh-tra-cuu-tinh-thanh-sap-nhap-ten-tinh-nao-viet-kieu-tay-hay-ta-deu-dung-4915803.html,cuoi,,1,0.6188185436416848
"90% người không thể tạo ra 6 hình vuông, còn bạn?",https://vnexpress.net/cau-do-que-diem-di-chuyen-que-diem-di-chuyen-3-que-diem-de-co-6-hinh-vuong-4899840.html,cuoi,,1,0.7724450565058351
3 con giáp tiền bạc rủng rỉnh giữa tháng 7,https://vnexpress.net/van-may-12-con-giap-con-giap-may-man-3-con-giap-tien-bac-rung-rinh-giua-thang-7-4911681.html,cuoi,,1,0.9936603559624063
"4 con giáp có nhiều cơ hội kiếm tiền, Thần Tài mở cửa",https://vnexpress.net/van-may-12-con-giap-con-giap-may-man-4-con-giap-co-nhieu-co-hoi-kiem-tien-than-tai-mo-cua-4911256.html,cuoi,,1,0.9914263931664701
Đố bạn thấy con mèo thứ hai ẩn nấp ở đâu?,https://vnexpress.net/do-ban-thay-con-meo-thu-hai-an-nap-o-dau-4910064.html,cuoi,,1,0.6582328597839388
Cua gì ở Việt Nam không nguyên vẹn?,https://vnexpress.net/cau-do-tieng-viet-do-chu-day-la-chu-con-gi-cua-gi-o-viet-nam-khong-nguyen-ven-4904058.html,cuoi,,1,0.6124380860711224
"Từ tiếng Việt nào để nguyên là con ngựa, thêm 'đuôi' thành con mèo?",https://vnexpress.net/cau-do-tieng-viet-do-chu-day-la-chu-gi-tu-tieng-viet-nao-de-nguyen-la-con-ngua-them-duoi-thanh-con-meo-4915100.html,cuoi,,1,0.7352753931165011
Hàng ngàn con vịt bủa kín mặt sông ở An Giang,https://vnexpress.net/thu-gian-video-hai-chuyen-la-hang-ngan-con-vit-bua-kin-mat-song-o-an-giang-4920790.html,cuoi,,5,0.5051952217454986
Bốn con giáp bùng nổ tài lộc trong quý 3,https://vnexpress.net/van-may-12-con-giap-con-giap-may-man-hom-nay-ngay-24-7-bon-con-giap-bung-no-tai-loc-trong-quy-3-4918042.html,cuoi,,1,0.9076504805909941
Tại sao có từ 'mỹ nhân kế' mà không có 'nam nhân kế'?,https://vnexpress.net/do-vui-thu-gian-tai-sao-co-tu-my-nhan-ke-ma-khong-co-nam-nhan-ke-4911414.html,cuoi,,5,0.47713316046232973
Bốn con giáp kiếm tiền dễ như trở bàn tay,https://vnexpress.net/van-may-12-con-giap-con-giap-may-man-bon-con-giap-kiem-tien-de-nhu-tro-ban-tay-4905777.html,cuoi,,1,0.991961903716213
Thêm hai que diêm để có phép tính đúng,https://vnexpress.net/cau-do-que-diem-di-chuyen-que-diem-them-hai-que-diem-de-co-phep-tinh-dung-4894831.html,cuoi,,1,0.9639947876011389
Cô gái xinh đẹp tên gì?,https://vnexpress.net/do-vui-cau-do-hoc-bua-hai-nao-co-gai-xinh-dep-ten-gi-4896282.html,cuoi,,5,0.9011057413335807
"3 con giáp vận sáng, của cải chất đống trong tuần mới",https://vnexpress.net/van-may-12-con-giap-con-giap-may-man-hom-nay-ngay-28-7-3-con-giap-van-sang-cua-cai-chat-dong-trong-tuan-moi-4918969.html,cuoi,,1,0.8217871160602807
Cô chủ truyền võ công trị thương cho cún cưng,https://vnexpress.net/thu-gian-video-hai-co-chu-truyen-vo-cong-tri-thuong-cho-cun-cung-4904303.html,cuoi,,5,0.6528740665627545
Đàn cá 'bay như chim' tẩu thoát khỏi lưới bao vây,https://vnexpress.net/thu-gian-video-hai-chuyen-la-dan-ca-chay-ca-bong-bay-nhu-chim-4921182.html,cuoi,,5,0.48235325854293615
"May mắn từ trên trời rơi xuống, 3 con giáp tài lộc đầy túi",https://vnexpress.net/van-may-12-con-giap-con-giap-may-man-may-man-tu-tren-troi-roi-xuong-3-con-giap-tai-loc-day-tui-4899575.html,cuoi,,1,0.7892374932505832
Ba con giáp 'tiền vào như nước' cuối tháng 5 âm lịch,https://vnexpress.net/van-may-12-con-giap-con-giap-may-man-ba-con-giap-tien-vao-nhu-nuoc-cuoi-thang-5-am-lich-4904596.html,cuoi,,1,0.9891541992197562
Thành ngữ chỉ sự sòng phẳng này là gì?,https://vnexpress.net/duoi-hinh-bat-chu-thanh-ngu-tuc-ngu-gioi-suy-luan-ban-co-biet-day-la-cau-thanh-ngu-gi-4906654.html,cuoi,,1,0.9912602448503234
Sự thật núi Ngũ Hành Sơn giam giữ Tôn Ngộ Không 500 năm,https://vnexpress.net/do-vui-thu-gian-tay-du-ky-su-that-nui-ngu-hanh-son-giam-giu-ton-ngo-khong-500-nam-4909556.html,cuoi,,5,0.3272144194806109
Màn teamwork đỉnh cao của bốn học sinh,https://vnexpress.net/thu-gian-video-hai-chuyen-la-man-teamwork-dinh-cao-cua-bon-hoc-sinh-4906129.html,cuoi,,5,0.391260505862619
Vì sao lại gọi là 'mưa ngâu'?,https://vnexpress.net/cau-do-tieng-viet-do-chu-vi-sao-lai-goi-la-mua-ngau-4922975.html,cuoi,,5,0.5533281170038942
Lão tướng nào 70 tuổi vẫn cùng Lý Nam Đế ba lần đánh giặc nhà Lương?,https://vnexpress.net/crossword-giai-o-chu-o-chu-lao-tuong-nao-70-tuoi-van-cung-ly-nam-de-ba-lan-danh-giac-nha-luong-4925040.html,cuoi,,7,0.33495047120630556
Bốn cung hoàng đạo tài chính dồi dào nhất tháng 7,https://vnexpress.net/van-may-12-cung-hoang-dao-van-may-hom-nay-van-may-ngay-18-7-bon-cung-hoang-dao-tai-chinh-doi-dao-nhat-thang-7-4915919.html,cuoi,,1,0.6208892862549023
Lái Mercedes quanh thành phố khoe bắt được cá khủng,https://vnexpress.net/the-gioi-do-day-chuyen-la-lai-mercedes-quanh-thanh-pho-khoe-bat-duoc-ca-khung-4918020.html,cuoi,,5,0.3518970112137995
"3 con giáp có tư chất lãnh đạo, 'giàu từ trong trứng'",https://vnexpress.net/van-may-12-con-giap-con-giap-may-man-hom-nay-ngay-3-8-3-con-giap-co-tu-chat-lanh-dao-giau-tu-trong-trung-4921728.html,cuoi,,1,0.6599558896934821
Bốn con giáp đếm tiền mỏi tay trong 3 ngày tới,https://vnexpress.net/van-may-12-con-giap-con-giap-may-man-hom-nay-ngay-2-8-4-con-giap-dem-tien-moi-tay-trong-3-ngay-toi-4921765.html,cuoi,,1,0.6830124450762671
Đàn cá rô chơi trò 'cầu trượt' sau mưa,https://vnexpress.net/thu-gian-video-hai-chuyen-la-dan-ca-ro-choi-tro-cau-truot-sau-mua-4912856.html,cuoi,,5,0.40862387424809604
Danh tướng nào là Thủy tổ dòng họ lớn nhất Việt Nam?,https://vnexpress.net/crossword-giai-o-chu-o-chu-ho-tuong-nao-la-thuy-to-dong-ho-lon-nhat-viet-nam-4923736.html,cuoi,,7,0.3499461585775008
Thanh niên 'hóa đá' vì chạm mặt sư tử,https://vnexpress.net/thu-gian-video-hai-chuyen-la-thanh-nien-hoa-da-vi-cham-mat-su-tu-duc-to-lon-4911171.html,cuoi,,5,0.5079468415156814
Cá mẹ 'nuốt chửng' đàn con vào miệng,https://vnexpress.net/thu-gian-video-hai-chuyen-la-ca-me-nuot-chung-dan-con-vao-mieng-4909773.html,cuoi,,1,0.5455413614750193
4 con giáp hạnh phúc tràn ngập khi thần tình yêu gõ cửa,https://vnexpress.net/van-may-12-con-giap-con-giap-may-man-4-con-giap-hanh-phuc-tran-ngap-khi-than-tinh-yeu-go-cua-4903773.html,cuoi,,1,0.5604336316606726
Thành ngữ gửi nhầm niềm tin vào kẻ nguy hiểm này là gì?,https://vnexpress.net/duoi-hinh-bat-chu-thanh-ngu-tuc-ngu-thanh-ngu-gui-niem-tin-vao-ke-nguy-hiem-la-gi-4918071.html,cuoi,,1,0.7753404004372659
"Bốn con giáp trúng đậm, tiền về ngập két trong 2 tuần tới",https://vnexpress.net/van-may-12-con-giap-con-giap-may-man-bon-con-giap-trung-dam-tien-ve-ngap-ket-trong-2-tuan-toi-4899584.html,cuoi,,1,0.8614733438651002
Di chuyển 2 que diêm để đồng xu ra ngoài chữ R?,https://vnexpress.net/cau-do-que-diem-di-chuyen-2-que-diem-de-dong-xu-ra-ngoai-chu-r-4899443.html,cuoi,,1,0.8389966248281769
Đệ nhất ác nhân trong kiếm hiệp Kim Dung là ai?,https://vnexpress.net/crossword-giai-o-chu-o-chu-de-nhat-ac-nhan-trong-kiem-hiep-kim-dung-la-ai-4905397.html,cuoi,,1,0.3940215238533479
4 con giáp 'túi tiền đầy ắp' từ hai bàn tay trắng,https://vnexpress.net/van-may-12-con-giap-con-giap-may-man-4-con-giap-tui-tien-day-ap-tu-hai-ban-tay-trang-4906225.html,cuoi,,1,0.5091210606768876
Di chuyển que diêm duy nhất để phép tính đúng?,https://vnexpress.net/cau-do-que-diem-di-chuyen-que-diem-di-chuyen-que-diem-duy-nhat-de-phep-tinh-dung-4919894.html,cuoi,,1,0.6862843625929397
Tỉnh nào nhỏ nhất miền Tây sau sáp nhập?,https://vnexpress.net/crossword-giai-o-chu-o-chu-tinh-nao-nho-nhat-mien-tay-sau-sap-nhap-4903599.html,cuoi,,7,0.44784368349207293
Di chuyển 4 que diêm nào để được 3 tam giác?,https://vnexpress.net/cau-do-que-diem-di-chuyen-que-diem-di-chuyen-4-que-diem-nao-de-duoc-3-tam-giac-4917354.html,cuoi,,1,0.6788801559616917
Thành ngữ nào nói về khả năng bay lượn như Tôn Ngộ Không?,https://vnexpress.net/duoi-hinh-bat-chu-thanh-ngu-tuc-ngu-thanh-ngu-nao-noi-ve-kha-nang-bay-luon-nhu-ton-ngo-khong-4909514.html,cuoi,,1,0.8815029509911506
